date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR
2006-09-25,1103,4898813,86442206,17.7,17.9,17.4,17.8,0.1,1086,4.2,0.86
2006-09-26,1103,3344856,59010375,17.8,17.8,17.55,17.6,-0.2,744,4.15,0.85
2006-09-27,1103,18584663,340144508,17.9,18.65,17.8,18.3,0.7,3711,4.32,0.88
2006-09-28,1103,10117395,184559786,18.7,18.7,17.7,18.0,-0.3,2095,4.25,0.87
2006-09-29,1103,3280245,58490408,18.0,18.15,17.7,17.95,-0.05,924,4.23,0.87
2006-10-02,1103,8353229,153597718,18.0,18.6,17.95,18.5,0.55,1648,4.36,0.89
2006-10-03,1103,3488267,64384006,18.5,18.6,18.3,18.35,-0.15,754,4.33,0.89
2006-10-04,1103,2540919,46179702,18.4,18.5,18.0,18.0,-0.35,622,4.25,0.87
2006-10-05,1103,3342506,60840975,18.05,18.4,18.05,18.15,0.15,757,4.28,0.88
2006-10-11,1103,9492177,178723821,18.15,19.3,18.15,18.9,0.75,2056,4.46,0.91
2006-10-12,1103,4020808,75275992,19.1,19.1,18.5,18.6,-0.3,942,4.39,0.9
2006-10-13,1103,7644399,143719657,18.6,18.95,18.55,18.8,0.2,1353,4.43,0.91
2006-10-14,1103,7757549,147891909,18.8,19.3,18.8,19.0,0.2,1387,4.48,0.92
2006-10-16,1103,4653227,87796796,19.15,19.3,18.55,18.55,-0.45,1072,4.38,0.9
2006-10-17,1103,3501172,64132903,18.55,18.6,18.2,18.2,-0.35,778,4.29,0.88
2006-10-18,1103,3283114,59710100,18.15,18.3,18.1,18.2,0.0,714,4.29,0.88
2006-10-19,1103,2440849,44345121,18.2,18.4,18.0,18.15,-0.05,500,4.28,0.88
2006-10-20,1103,4771450,89321427,18.25,19.0,18.2,18.75,0.6,1158,4.42,0.91
2006-10-23,1103,5274841,99874935,18.9,19.2,18.65,18.7,-0.05,1122,4.41,0.9
2006-10-24,1103,9670925,184767100,18.9,19.45,18.65,19.15,0.45,1885,4.52,0.93
