date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,year,PER,PBR,equity,mkPrice
2006-07-26,1528,295130,4139807,14.05,14.2,13.9,14.0,0.1,100,2006,10.94,0.99,0,0.0
2006-07-27,1528,297000,4135800,14.0,14.0,13.85,13.9,-0.1,81,2006,10.86,0.98,0,0.0
2006-07-28,1528,345197,4794738,14.0,14.0,13.8,13.95,0.05,93,2006,10.9,0.99,0,0.0
2006-07-31,1528,1099890,15650996,14.15,14.4,14.0,14.25,0.3,267,2006,11.13,1.01,0,0.0
2006-08-01,1528,410600,5827550,14.25,14.3,14.1,14.15,-0.1,109,2006,11.05,1.0,0,0.0
2006-08-02,1528,214250,3037200,14.15,14.3,14.1,14.1,-0.05,66,2006,11.02,1.0,0,0.0
2006-08-03,1528,782375,11282993,14.3,14.6,14.2,14.4,0.3,245,2006,11.25,1.02,0,0.0
2006-08-04,1528,1001595,14602684,14.7,14.75,14.45,14.5,0.1,266,2006,11.33,1.02,0,0.0
2006-08-07,1528,492254,7123443,14.5,14.65,14.3,14.3,-0.2,123,2006,11.17,1.01,0,0.0
2006-08-08,1528,197050,2833767,14.35,14.45,14.35,14.4,0.1,71,2006,11.25,1.02,0,0.0
2006-08-09,1528,221500,3182849,14.4,14.5,14.3,14.3,-0.1,70,2006,11.17,1.01,0,0.0
2006-08-10,1528,562350,8008750,14.3,14.5,14.15,14.15,-0.15,148,2006,11.05,1.0,0,0.0
2006-08-11,1528,576500,8120150,14.2,14.3,14.0,14.1,-0.05,139,2006,11.02,1.0,0,0.0
2006-08-14,1528,440465,6201686,14.15,14.2,14.0,14.0,-0.1,92,2006,10.94,0.99,0,0.0
2006-08-15,1528,224525,3149772,14.0,14.1,14.0,14.05,0.05,62,2006,10.98,0.99,0,0.0
2006-08-16,1528,989867,14102879,14.2,14.45,14.1,14.15,0.1,228,2006,11.05,1.0,0,0.0
2006-08-17,1528,1009426,14591338,14.5,14.5,14.4,14.45,0.3,271,2006,11.29,1.02,0,0.0
