date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,PER,PBR,year,equity,mkPrice
2006-03-29,1107,193505,89977,0.46,0.49,0.45,0.49,0.03,43,0.0,24.5,2006,0,0.0
2006-03-30,1107,129447,60265,0.48,0.49,0.46,0.48,-0.01,18,0.0,24.0,2006,0,0.0
2006-03-31,1107,63000,28900,0.45,0.47,0.45,0.45,-0.03,14,0.0,22.5,2006,0,0.0
2006-04-03,1107,355000,152660,0.47,0.47,0.42,0.45,0.0,34,0.0,22.5,2006,0,0.0
2006-04-04,1107,137000,58907,0.44,0.44,0.42,0.43,-0.02,51,0.0,21.5,2006,0,0.0
2006-04-06,1107,155000,66920,0.42,0.45,0.42,0.44,0.01,55,0.0,22.0,2006,0,0.0
2006-04-07,1107,142818,63253,0.44,0.45,0.44,0.44,0.0,48,0.0,22.0,2006,0,0.0
2006-04-10,1107,82951,36917,0.43,0.45,0.43,0.44,0.0,40,0.0,22.0,2006,0,0.0
2006-04-11,1107,231231,103644,0.44,0.45,0.44,0.44,0.0,19,0.0,22.0,2006,0,0.0
2006-04-12,1107,402000,186388,0.44,0.47,0.44,0.47,0.03,63,0.0,23.5,2006,0,0.0
2006-04-13,1107,561000,259600,0.47,0.5,0.44,0.44,-0.03,36,0.0,22.0,2006,0,0.0
2006-04-14,1107,159828,73626,0.44,0.47,0.44,0.47,0.03,50,0.0,23.5,2006,0,0.0
2006-04-17,1107,292150,145091,0.5,0.5,0.46,0.5,0.03,67,0.0,25.0,2006,0,0.0
2006-04-18,1107,299483,158523,0.53,0.53,0.53,0.53,0.03,56,0.0,26.5,2006,0,0.0
2006-04-19,1107,124446,69453,0.56,0.56,0.56,0.56,0.03,46,0.0,28.0,2006,0,0.0
2006-04-20,1107,1364284,801549,0.59,0.59,0.53,0.53,-0.03,52,0.0,26.5,2006,0,0.0
2006-04-21,1107,890000,494120,0.53,0.56,0.52,0.52,-0.01,50,0.0,26.0,2006,0,0.0
2006-04-24,1107,326994,179141,0.55,0.55,0.53,0.55,0.03,54,0.0,27.5,2006,0,0.0
2006-04-25,1107,861000,489850,0.58,0.58,0.52,0.56,0.01,40,0.0,28.0,2006,0,0.0
2006-04-26,1107,681095,393021,0.56,0.59,0.54,0.58,0.02,62,0.0,29.0,2006,0,0.0
